dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
30.0,2,1.2713912455517738e-07,0
30.0,3,1.4838547098688605e-07,0
30.0,4,1.3578441776411766e-07,0
30.0,5,7.264038666944289e-08,0
30.0,6,1.4478375252542884e-07,0
30.0,7,1.0648416694038317e-07,0
30.0,8,1.308195325297954e-07,0
30.0,9,7.13057232824933e-08,0
30.0,10,8.385782788140147e-08,0
30.0,11,8.625100270472895e-08,0
30.0,12,9.39823873093452e-08,0
30.0,13,6.924895056092133e-08,0
30.0,14,8.411191538265498e-08,0
30.0,15,8.183387667655481e-08,0
32.0,0,7.257564203363042e-08,0
32.0,1,7.843844755717766e-08,0
32.0,2,1.2744958479350067e-07,0
32.0,3,1.483894704580653e-07,0
32.0,4,1.3555384260631842e-07,0
32.0,5,7.263511809376095e-08,0
32.0,6,1.4510868847961738e-07,0
32.0,7,1.0659041058907606e-07,0
32.0,8,1.310474352300209e-07,0
32.0,9,7.136221584805014e-08,0
32.0,10,8.38843717555424e-08,0
32.0,11,8.605819444017047e-08,0
32.0,12,9.38536627728247e-08,0
32.0,13,6.925914404953709e-08,0
32.0,14,8.427819661388802e-08,0
32.0,15,8.364204066463649e-08,0
34.0,0,7.261890186304944e-08,0
34.0,1,7.93024108299344e-08,0
34.0,2,1.2788852388554833e-07,0
34.0,3,1.508661374207001e-07,0
34.0,4,1.364921881665126e-07,0
34.0,5,7.2668682347643e-08,0
34.0,6,1.4516569196734872e-07,0
34.0,7,1.0664499002445644e-07,0
34.0,8,1.3225792234129906e-07,0
34.0,9,7.177371649960234e-08,0
34.0,10,8.402282652977176e-08,0
34.0,11,8.669667070657079e-08,0
34.0,12,9.437522199153525e-08,0
34.0,13,6.984280538179767e-08,0
34.0,14,8.463397076128237e-08,0
34.0,15,8.056315655268535e-08,0
36.00000000000001,0,7.265628285864702e-08,0
36.00000000000001,1,8.011175874275563e-08,0
36.00000000000001,2,1.2850002980830291e-07,0
36.00000000000001,3,1.5219782168930386e-07,0
36.00000000000001,4,1.3705198932203509e-07,0
36.00000000000001,5,7.270403186804346e-08,0
36.00000000000001,6,1.4593597091248627e-07,0
36.00000000000001,7,1.0694705059941632e-07,0
36.00000000000001,8,1.3410091288791112e-07,0
